Date,Low Production
Low production on 2022/01/01 04:00 for WindPower,34.27
Low production on 2022/01/01 08:00 for WindPower,2.77
Low production on 2022/01/01 23:00 for SolarPower,14.56
Low production on 2022/01/03 19:00 for WindPower,33.39
Low production on 2022/01/05 20:00 for SolarPower,1.69
Low production on 2022/01/06 08:00 for HydroPower,23.0
Low production on 2022/01/08 11:00 for WindPower,3.5
Low production on 2022/01/08 16:00 for WindPower,31.04
Low production on 2022/01/08 22:00 for SolarPower,22.76
Low production on 2022/01/11 09:00 for SolarPower,29.52
Low production on 2022/01/11 10:00 for WindPower,11.65
Low production on 2022/01/12 20:00 for SolarPower,35.51
Low production on 2022/01/12 23:00 for WindPower,24.15
Low production on 2022/01/13 11:00 for WindPower,17.25
Low production on 2022/01/16 18:00 for WindPower,4.14
Low production on 2022/01/17 16:00 for WindPower,0.1
Low production on 2022/01/17 20:00 for SolarPower,21.95
Low production on 2022/01/18 00:00 for HydroPower,11.64
Low production on 2022/01/18 18:00 for SolarPower,27.49
Low production on 2022/01/19 07:00 for SolarPower,20.4
Low production on 2022/01/19 12:00 for SolarPower,36.62
Low production on 2022/01/19 22:00 for WindPower,35.74
Low production on 2022/01/23 10:00 for HydroPower,25.19
Low production on 2022/01/24 00:00 for HydroPower,10.08
Low production on 2022/01/24 13:00 for WindPower,14.45
Low production on 2022/01/27 07:00 for WindPower,9.86
Low production on 2022/01/29 00:00 for HydroPower,22.74
Low production on 2022/02/01 10:00 for WindPower,27.39
Low production on 2022/02/01 13:00 for SolarPower,4.99
Low production on 2022/02/01 18:00 for HydroPower,30.89
Low production on 2022/02/03 14:00 for HydroPower,21.32
Low production on 2022/02/04 02:00 for SolarPower,37.86
Low production on 2022/02/10 15:00 for SolarPower,20.13
Low production on 2022/02/10 16:00 for WindPower,17.55
Low production on 2022/02/11 11:00 for HydroPower,0.2
Low production on 2022/02/11 16:00 for SolarPower,31.29
Low production on 2022/02/12 03:00 for SolarPower,7.97
Low production on 2022/02/14 09:00 for HydroPower,19.68
Low production on 2022/02/16 15:00 for HydroPower,7.19
Low production on 2022/02/17 14:00 for HydroPower,4.6
Low production on 2022/02/18 18:00 for SolarPower,14.34
Low production on 2022/02/20 19:00 for WindPower,8.9
Low production on 2022/02/21 18:00 for HydroPower,3.26
Low production on 2022/02/22 07:00 for SolarPower,24.51
Low production on 2022/02/24 22:00 for WindPower,27.9
Low production on 2022/02/26 17:00 for SolarPower,12.29
Low production on 2022/03/03 18:00 for HydroPower,36.82
Low production on 2022/03/04 01:00 for WindPower,26.59
Low production on 2022/03/04 03:00 for WindPower,22.23
Low production on 2022/03/05 08:00 for SolarPower,8.47
Low production on 2022/03/05 08:00 for WindPower,26.65
Low production on 2022/03/10 09:00 for WindPower,10.34
Low production on 2022/03/12 06:00 for WindPower,18.0
Low production on 2022/03/12 16:00 for WindPower,15.55
Low production on 2022/03/14 11:00 for HydroPower,6.62
Low production on 2022/03/18 04:00 for WindPower,39.93
Low production on 2022/03/18 09:00 for WindPower,7.03
Low production on 2022/03/18 20:00 for WindPower,32.36
Low production on 2022/03/19 10:00 for SolarPower,3.56
Low production on 2022/03/22 02:00 for WindPower,32.18
Low production on 2022/03/22 03:00 for WindPower,39.69
Low production on 2022/03/22 15:00 for SolarPower,22.32
Low production on 2022/03/25 03:00 for WindPower,14.67
Low production on 2022/03/26 14:00 for SolarPower,11.76
Low production on 2022/03/27 14:00 for HydroPower,10.5
Low production on 2022/03/28 16:00 for HydroPower,13.53
Low production on 2022/4/2 0:00 for WindPower,21.0
